epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1298.52,0.83622,0.71165,1.11308,0.6775,0.62717,0.63999,0.44687,1.15632,1.20947,1.37912,0.0005941,0.0005941,0.0005941
43,1328.67,0.84516,0.72796,1.12001,0.60362,0.65264,0.63693,0.453,1.12554,1.16788,1.35199,0.0005842,0.0005842,0.0005842
44,1358.49,0.79408,0.68594,1.09989,0.75791,0.55473,0.65546,0.46263,1.13438,1.12089,1.37343,0.0005743,0.0005743,0.0005743
45,1388.36,0.77711,0.67373,1.09254,0.67883,0.59215,0.64671,0.45687,1.13217,1.21641,1.35744,0.0005644,0.0005644,0.0005644
46,1418.21,0.80532,0.68526,1.10381,0.74545,0.57282,0.63508,0.4484,1.15433,1.24335,1.38042,0.0005545,0.0005545,0.0005545
47,1448.45,0.78226,0.65975,1.08951,0.68432,0.5958,0.66671,0.47135,1.13622,1.10306,1.37596,0.0005446,0.0005446,0.0005446
48,1478.3,0.78479,0.65118,1.08634,0.70722,0.62317,0.65525,0.45441,1.12564,1.22213,1.35683,0.0005347,0.0005347,0.0005347
49,1508.32,0.78753,0.65099,1.09532,0.71497,0.57916,0.64477,0.45426,1.15269,1.19068,1.40349,0.0005248,0.0005248,0.0005248
50,1538.16,0.7591,0.63829,1.08102,0.71253,0.57467,0.6482,0.45763,1.14883,1.20441,1.37828,0.0005149,0.0005149,0.0005149
51,1567.97,0.77749,0.63378,1.08286,0.66682,0.57268,0.63181,0.45288,1.12397,1.18614,1.36199,0.000505,0.000505,0.000505
52,1599.73,0.74997,0.64232,1.0735,0.70175,0.58502,0.63498,0.44805,1.14947,1.16551,1.37727,0.0004951,0.0004951,0.0004951
53,1629.47,0.74226,0.60968,1.06489,0.69422,0.60285,0.66919,0.48271,1.12191,1.11824,1.36551,0.0004852,0.0004852,0.0004852
54,1659.16,0.73476,0.61124,1.06277,0.66246,0.62118,0.65725,0.47363,1.1202,1.17232,1.34957,0.0004753,0.0004753,0.0004753
55,1688.87,0.72863,0.58562,1.05206,0.70237,0.63151,0.66843,0.47864,1.11106,1.13389,1.35667,0.0004654,0.0004654,0.0004654
56,1718.91,0.73074,0.60677,1.0652,0.74306,0.58684,0.63627,0.45977,1.10099,1.22782,1.33809,0.0004555,0.0004555,0.0004555
57,1748.9,0.73657,0.59878,1.05534,0.70375,0.59519,0.64976,0.47724,1.10606,1.17663,1.33814,0.0004456,0.0004456,0.0004456
58,1778.78,0.70761,0.57659,1.04905,0.70367,0.61814,0.65406,0.46621,1.13111,1.16505,1.3675,0.0004357,0.0004357,0.0004357
59,1808.94,0.7045,0.57678,1.04664,0.6803,0.59623,0.66087,0.47688,1.11974,1.19608,1.36316,0.0004258,0.0004258,0.0004258
60,1838.77,0.69845,0.55552,1.04354,0.69424,0.63565,0.66071,0.46554,1.11386,1.17587,1.34551,0.0004159,0.0004159,0.0004159
61,1868.74,0.69171,0.56083,1.03816,0.75588,0.56476,0.66773,0.47692,1.12129,1.12181,1.36601,0.000406,0.000406,0.000406
62,1898.47,0.69709,0.55761,1.04099,0.6897,0.60343,0.65724,0.47055,1.14031,1.18221,1.38917,0.0003961,0.0003961,0.0003961
63,1928.45,0.67664,0.52368,1.02747,0.74617,0.60223,0.67261,0.47688,1.11537,1.13302,1.36392,0.0003862,0.0003862,0.0003862
64,1958.26,0.66829,0.55058,1.02829,0.74764,0.63273,0.68809,0.48936,1.11846,1.08856,1.38682,0.0003763,0.0003763,0.0003763
65,1988.32,0.67693,0.53612,1.0307,0.66008,0.61488,0.6688,0.48506,1.11829,1.14708,1.36603,0.0003664,0.0003664,0.0003664
66,2018.39,0.67092,0.52639,1.02488,0.73252,0.62154,0.66403,0.47167,1.105,1.13016,1.37025,0.0003565,0.0003565,0.0003565
67,2048.16,0.65319,0.5057,1.01626,0.73603,0.61369,0.65154,0.45855,1.10033,1.16469,1.34913,0.0003466,0.0003466,0.0003466
68,2078.41,0.64977,0.51278,1.01488,0.71976,0.58315,0.63622,0.45438,1.12512,1.18841,1.37813,0.0003367,0.0003367,0.0003367
69,2110.61,0.6495,0.51113,1.01736,0.75766,0.59002,0.64623,0.46077,1.1209,1.2031,1.37927,0.0003268,0.0003268,0.0003268
70,2142.55,0.6355,0.49862,1.01546,0.6901,0.61865,0.6408,0.46119,1.09225,1.19128,1.34967,0.0003169,0.0003169,0.0003169
71,2172.43,0.63166,0.50199,1.0089,0.72446,0.63526,0.67784,0.48434,1.09986,1.1338,1.36411,0.000307,0.000307,0.000307
72,2202.06,0.62855,0.4869,1.00719,0.66688,0.64599,0.67189,0.49202,1.07692,1.16847,1.33783,0.0002971,0.0002971,0.0002971
73,2231.94,0.61936,0.49694,1.00897,0.78484,0.57056,0.6771,0.48376,1.11478,1.08368,1.38207,0.0002872,0.0002872,0.0002872
74,2261.7,0.62032,0.48553,0.99787,0.72077,0.59891,0.66744,0.47413,1.10125,1.08175,1.36879,0.0002773,0.0002773,0.0002773
75,2292.66,0.6002,0.4712,0.98933,0.77153,0.6248,0.67757,0.48477,1.09021,1.12454,1.37297,0.0002674,0.0002674,0.0002674
76,2322.5,0.59891,0.46595,0.99455,0.71609,0.62469,0.67697,0.48035,1.1036,1.15073,1.37233,0.0002575,0.0002575,0.0002575
77,2352.24,0.59755,0.46294,0.9916,0.77153,0.57917,0.67432,0.48293,1.09993,1.16107,1.37067,0.0002476,0.0002476,0.0002476
78,2382.32,0.58739,0.44784,0.98984,0.81256,0.60208,0.68796,0.49903,1.08317,1.12262,1.36033,0.0002377,0.0002377,0.0002377
79,2412.2,0.58649,0.4352,0.9893,0.78087,0.59634,0.67885,0.48445,1.10206,1.15083,1.38829,0.0002278,0.0002278,0.0002278
80,2442.16,0.59065,0.46048,0.99839,0.69006,0.63056,0.67635,0.48642,1.09216,1.11918,1.36823,0.0002179,0.0002179,0.0002179
81,2472.09,0.58524,0.4506,0.98796,0.7643,0.5998,0.67493,0.49015,1.08548,1.15965,1.37444,0.000208,0.000208,0.000208
82,2501.74,0.58336,0.43579,0.9934,0.77342,0.59083,0.67669,0.48557,1.10737,1.1482,1.37564,0.0001981,0.0001981,0.0001981
83,2531.48,0.57878,0.44145,0.99187,0.75158,0.61837,0.6893,0.4918,1.08561,1.08883,1.35937,0.0001882,0.0001882,0.0001882
84,2561.29,0.56433,0.43048,0.97959,0.74496,0.62109,0.68507,0.49334,1.087,1.109,1.36314,0.0001783,0.0001783,0.0001783
85,2591.24,0.55704,0.42293,0.97335,0.7418,0.64062,0.69789,0.50507,1.06,1.11717,1.34016,0.0001684,0.0001684,0.0001684
86,2621.17,0.54427,0.41682,0.97689,0.82283,0.58751,0.67457,0.4866,1.08558,1.14989,1.37433,0.0001585,0.0001585,0.0001585
87,2652.86,0.53878,0.41046,0.9728,0.7265,0.66073,0.67616,0.48382,1.09457,1.17241,1.36759,0.0001486,0.0001486,0.0001486
88,2682.7,0.54855,0.42149,0.98261,0.78788,0.63387,0.69366,0.5054,1.08101,1.07614,1.35807,0.0001387,0.0001387,0.0001387
89,2712.6,0.5361,0.40816,0.96747,0.65918,0.65355,0.67906,0.49815,1.07358,1.09067,1.36396,0.0001288,0.0001288,0.0001288
90,2742.33,0.54587,0.41935,0.97483,0.76536,0.5716,0.67386,0.49156,1.08994,1.15248,1.37543,0.0001189,0.0001189,0.0001189
91,2791.53,0.465,0.29278,0.90318,0.71277,0.60925,0.65832,0.46869,1.07592,1.11912,1.37473,0.000109,0.000109,0.000109
92,2820.88,0.41942,0.26145,0.8804,0.69462,0.62984,0.66628,0.48147,1.0801,1.14094,1.3756,9.91e-05,9.91e-05,9.91e-05
93,2850.69,0.41274,0.25411,0.87981,0.7572,0.59905,0.66855,0.48191,1.101,1.12692,1.40098,8.92e-05,8.92e-05,8.92e-05
94,2880.43,0.39493,0.24291,0.87284,0.71861,0.64344,0.6896,0.49878,1.10719,1.11736,1.39922,7.93e-05,7.93e-05,7.93e-05
95,2910.11,0.39283,0.23825,0.86987,0.7375,0.65448,0.69365,0.50058,1.09162,1.13226,1.38652,6.94e-05,6.94e-05,6.94e-05
96,2939.53,0.39119,0.23742,0.86085,0.73563,0.64763,0.69835,0.5078,1.0805,1.11121,1.37941,5.95e-05,5.95e-05,5.95e-05
97,2969.28,0.3833,0.23124,0.86432,0.77348,0.59564,0.69194,0.50487,1.07011,1.12026,1.3673,4.96e-05,4.96e-05,4.96e-05
98,2998.91,0.37865,0.2301,0.86408,0.75217,0.62436,0.69327,0.5035,1.07028,1.1241,1.37859,3.97e-05,3.97e-05,3.97e-05
99,3028.45,0.37809,0.22669,0.86758,0.76525,0.61326,0.68573,0.49349,1.06778,1.13091,1.36763,2.98e-05,2.98e-05,2.98e-05
100,3057.99,0.36308,0.22505,0.85832,0.74981,0.61785,0.68875,0.49974,1.06971,1.13532,1.37288,1.99e-05,1.99e-05,1.99e-05
